remaining_time,robot_mode,alarm,robot_x,robot_y,robot_theta,tree 1,tree 2,tree 3,tree 4,tree 5,tree 6,tree 7,tree 8,tree 9,battery_level,temperature,water_robot_tank,water_ground_tank,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,direction,avancement,left,right,front,back,space,left,right,push,wrench,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,rm_alarm,errors,shortcuts
250,1,-1,-0.2667711675167084,9.847716331481934,3.0759248733520512,0,1,1,0,0,1,1,1,1,16,126.51174785267963,0,97.11111111111104,0,0,0,0,0,0,1,0,0,0.30099534988403365,0.00028508642390079905,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
249,1,-1,-0.2680066227912903,9.847790718078613,-2.9499218463897705,0,1,1,0,1,1,1,1,1,16,123.17841451934632,0,96.55555555555546,0,0,0,0,0,0,1,0,0,-6.025846719741821,0.0012376926521789839,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
248,1,-1,-0.2680072486400604,9.847790718078613,-2.949918508529663,0,1,1,0,1,1,1,1,1,15,135.9951380573532,0,95.99999999999987,0,0,0,0,0,0,1,0,0,3.337860107421875e-06,6.258487701416016e-07,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
247,1,-1,-0.2680072486400604,9.847790718078613,-2.949918508529663,0,1,1,0,1,1,1,1,1,15,135.9951380573532,0,95.44444444444431,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
246,1,-1,-0.2675572633743286,9.849160194396973,2.903786420822144,0,1,1,0,1,1,1,1,1,14,148.8103569037339,0,94.88888888888874,0,0,0,0,0,0,1,0,0,5.853704929351807,0.0014415103627525114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
245,1,-1,-0.2677350640296936,9.849532127380373,2.3912243843078613,0,1,1,0,1,1,1,1,1,14,161.62713969570692,0,94.33333333333314,0,0,0,0,0,0,1,0,0,-0.5125620365142827,0.000412246549032498,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
244,1,-1,-0.2670052349567413,9.849885940551758,1.8682407140731807,0,1,1,0,1,1,1,1,1,13,174.43949197108378,0,93.7777777777776,0,0,0,0,0,0,1,0,0,-0.5229836702346806,0.0008110698095552086,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
243,1,-1,-0.26630857586860657,9.850672721862793,1.3203359842300415,0,1,1,0,1,1,1,1,1,13,187.24808553931197,0,93.22222222222204,0,0,0,0,0,0,1,0,0,-0.5479047298431392,0.0010508847303462379,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
242,1,-1,-0.2661283612251282,9.850927352905273,0.8069450855255127,0,1,1,0,1,1,1,1,1,12,200.05575953017868,0,92.66666666666644,0,0,0,0,0,0,1,0,0,-0.5133908987045288,0.00031195237700446324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
241,1,1,0.010906328447163105,9.983015060424805,0.4282744228839874,0,1,1,0,1,1,1,1,1,12,211.1023773720289,0,92.11111111111087,0,0,0,0,0,0,1,0,0,-0.37867066264152527,0.3069126614520619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
