remaining_time,robot_mode,alarm,robot_x,robot_y,robot_theta,forest_state,battery_level,temperature,water_robot_tank,water_ground_tank,leaks_state,keys, clicks,errors,shortcuts
600,0,-1,3.2136929803527885e-05,-0.00011677559814415872,-6.144574581412597e-05, 000000000,100,20.0,50,50.0, 000000000, -1, -1,-2,-2
599,0,-1,2.7763951948145404e-05,-0.00011183752212673426,-0.00013749337813351303, 000000000,100,20.0,50,50.0, 000000000, -1, -1,-2,-2
598,0,-1,2.282199238834437e-05,-0.00010690485214581712,-0.0002134240639861673, 000000000,100,20.0,50,50.0, 000000000, -1, left,-2,-2
597,0,-1,0.5256535410881042,-0.0004384209169074893,-0.001241217483766377, 000000000,99,20.0,50,50.0, 000000000, front, -1,-2,-2
596,0,-1,2.2946887016296387,-0.002038402482867241,0.08790562301874161, 000000000,98,20.0,50,50.0, 000000000, front-front-left-left-left, -1,-2,-2
595,0,-1,2.2948131561279297,-0.0014582356670871375,0.6458495259284973, 000000000,98,20.0,50,50.0, 000000000, left-left-left-left-left-left-left-left-left, right,-2,-2
594,0,-1,2.2949697971343994,-0.0010616615181788802,1.0018112659454346, 000000010,97,20.0,50,50.0, 000000000, -1, right-right,-2,-2
593,0,-1,2.294971704483032,-0.0010613328777253628,1.0018168687820437, 000000010,97,20.0,50,50.0, 000000000, -1, right,-2,-2
592,0,-1,2.294971704483032,-0.0010613005142658947,1.0018168687820437, 000000010,96,20.0,50,50.0, 000000000, right-right, push,-2,-2
591,0,-1,2.295011043548584,-0.0015228937845677135,0.4637574553489685, 100000010,96,20.0,50,50.0, 000000000, right-right-right-right-right-right-right-right-right-right, -1,-2,-2
590,1,-1,2.2947144508361816,-0.0022376817651093006,-0.13179495930671692, 100000010,95,20.0,50,50.0, 000000001, right-right-right-right-right-right-right-right-right-right, -1,-2,-2
589,1,-1,2.2947144508361816,-0.0022376817651093006,-0.13179495930671692, 100000010,95,20.0,50,49.44444444444443, 000000001, right-right-right-right-right-right-right-right-right-right, -1,-2,-2
588,1,-1,2.294325590133667,-0.0023132450878620148,0.07297413796186447, 100000110,94,20.0,50,48.88888888888886, 000000001, right-right-right-right-right-right-right-right-right-right, -1,-2,-2
587,1,-1,2.2944440841674805,-0.002293773926794529,0.6218318939208984, 100000110,94,20.0,50,48.33333333333329, 000000001, -1, -1,-2,-2
586,1,-1,2.2952208518981934,-0.0022840723395347595,1.1483289003372192, 100000110,93,20.0,50,47.77777777777772, 000000001, -1, left-left,-2,-2
585,1,-1,2.4102916717529297,0.5414279103279114,1.3819365501403809, 100000110,93,20.0,50,47.222222222222136, 000000001, -1, left-left-left,-2,-2
584,1,-1,2.708215475082397,2.1832587718963623,1.3910133838653564, 100000110,92,20.0,50,46.66666666666657, 000000001, -1, push,-2,-2
583,1,-1,3.0032975673675537,3.825571298599243,1.393704175949097, 100000110,92,20.0,50,46.111111111111, 000000001, -1, -1,-2,-2
582,1,-1,3.2811083793640137,5.470705032348633,1.4050760269165041, 100000110,91,20.0,50,45.55555555555543, 000000000, -1, wrench-leak_9,-2,-2
581,1,-1,3.555337190628052,7.117002487182617,1.4065040349960327, 100000110,91,20.0,50,45.55555555555543, 000000000, -1, left,-2,-2
580,0,-1,3.821580648422241,8.764832496643066,1.4135345220565796, 100000110,90,20.0,50,48.26984126984114, 100000000, -1, wrench-push-push,-2,-2
579,0,-1,4.054518222808838,10.29311466217041,1.4272119998931885, 100000110,90,20.0,50,47.71428571428557, 100000000, -1, -1,-2,-2
578,0,-1,4.064249038696288,10.358603477478027,1.4270989894866943, 100000110,89,20.0,50,47.15873015873, 100000000, -1, right-right,-2,-2
577,0,-1,4.064249038696288,10.358603477478027,1.4270650148391724, 100000110,89,20.0,50,46.603174603174416, 100000000, -1, right,-2,-2
576,0,-1,4.221939086914063,11.446853637695312,1.4263217449188232, 100000110,88,20.0,50,46.047619047618845, 100000000, front-front-front-front-front-front, -1,-2,-2
575,0,-1,4.586454391479492,13.972416877746582,1.5326157808303833, 000000110,88,20.0,40,45.49206349206328, 100000000, front-front-spac0.0back-back, -1,-2,-2
574,0,-1,4.688404083251953,11.716803550720215,1.6140912771224976, 000000110,87,20.0,40,44.93650793650771, 100000000, back-back-back-back-left, -1,-2,-2
